list,is_filler,item,condition,NP_size,sentence,EN translation,context,question,correct,wrong,answer
1,no,17,OR,long,Le_salarié que_le_directeur_des_ressources_humaines_avait_insulté dans_un_e-mail a_apaisé sa_colère,The (salaried) employee who the director of human resources had insulted in an e-mail has appeased his anger.,La situation s'est améliorée au bureau:,Le salarié a-t-il été insulté ?,Oui,Non,Je ne sais pas
1,no,18,IOR,long,L'employé qu'avait_ruiné_le_directeur_de_la_multinationale en_révélant_certains_secrets a_dû vendre_sa_maison,The employee who the director of the multinational company had ruined by revealing some secrets has had to sell his house.,Découvrir la vérité peut être dangereux:,L'employé a-t-il été ruiné ?,Oui,Non,Je ne sais pas
1,no,19,SR,long,Le_musicien qui_avait_inspiré_le_compositeur_de_musique_classique au_début_de_sa_carrière a_sorti un_nouvel_album,The musician who had inspired the classical composer at the beginning of his career has released a new album.,La Fête de la musique arrive à grands pas:,Le compositeur de musique classique a-t-il sorti un nouvel album ?,Non,Oui,Je ne sais pas
1,no,20,OR,long,Le_banquier que_le_chef_des_services_financiers_avait_arnaqué pendant_plusieurs_années a_été licencié,The banker who the chief financial officer had scammed for several years has been laid off.,De nouvelles révélations sont tombées à propos d'UBS:,Le banquier a-t-il démissionné ?,Non,Oui,Je ne sais pas
1,no,21,IOR,long,L'entraîneur qu'avait_accusé_le_président_de_la_Fédération_française_de_rugby suite_à _une_défaite_a_changé de_club,The coach who the president of the French Federation of Rugby had accused following a defeat has changed clubs.,Le monde du ballon ovale est en mouvement:,L'entraîneur a-t-il blâmé la Fédération française de rugby pour sa défaite ?,Non,Oui,Je ne sais pas
1,no,22,SR,long,Le_chanteur qui_avait_remplacé_le_candidat_au_Concours_Eurovision au_dernier_moment a_perdu l'appui_de_ses_fans,The singer who had replaced the candidate to the Eurovision contest at the last minute has lost the support of his fans.,L'industrie du spectacle peut être cruelle:,Le candidat à l'Eurovision a-t-il perdu ses fans ?,Non,Oui,Je ne sais pas
1,no,23,OR,long,Le_cycliste que_le_chauffeur_de_limousine _avait_percuté au_milieu_du_carrefour a_succombé à_ses_blessures,The cyclist who the limousine driver had collided with in the middle of the crossroads has succumbed to his injuries. ,La route a fait une nouvelle victime:,Le chauffeur de limousine est-il décédé ?,Non,Oui,Je ne sais pas
1,no,24,IOR,long,Le_chirurgien qu'avait_choisi_le_médecin_anesthésiste pour_une_opération_délicate a_sauvé la_vie_du_patient,The surgeon who the anaesthesiologist had chosen for a delicate operation has saved the patient's life.,L'hôpital regorge de personnel compétent:,L'opération a-t-elle causé la mort du patient ?,Non,Oui,Je ne sais pas
2,no,1,OR,short,Le_baron que_le_roi_avait_détesté dans_sa_jeunesse a_hérité d'un_château_en_Bourgogne,The baron who the king had hated in his youth has inherited a castle in Burgundy.,Il y a du nouveau à la cour:,Le baron possède-t-il un château en Bourgogne ? ,Oui,Non,Je ne sais pas
2,no,2,IOR,short,L'épicier qu'avait_croisé_le maire au_marché est_parti en_retraite,The grocer who the mayor had run into at the market has retired.,Il y a du changement au village:,L'épicier a-t-il arrêté de travailler ?,Oui,Non,Je ne sais pas
2,no,3,SR,short,L'homme qui_avait_accompagné_l'étranger jusqu'à_la_gare est_parti rapidement,The man who had accompanied the foreigner to the station has left quickly.,Il n'y a plus personne sur le quai:,L'étranger est-il allé jusqu'à la gare ?,Oui,Non,Je ne sais pas
2,no,4,OR,short,Le chat que_le_chien_avait_poursuivi dans_toute_la_maison a_sali la_moquette,The cat who the dog had chased all over the house has soiled the carpet.,S'occuper d'animaux n'est pas de tout repos:,Le chat a-t-il sali la moquette ?,Oui,Non,Je ne sais pas
2,no,5,IOR,short,Le_douanier qu'avait_soudoyé_l'officier à_plusieurs_reprises a_perdu son_procès,The custom officier who the officer had bribed on several occasions lost his case.,Victoire contre la corruption et la contrebande:,Le douanier a-t-il été soudoyé ?,Oui,Non,Je ne sais pas
2,no,6,SR,short,Le_cuisinier qui_avait_défié_le chef devant_tout_le_personnel a_raté son_soufflé,The cook who had challenged the chef in front of all the staff messed up his soufflé.,L'ambiance est pesante au restaurant:,Le cuisinier a-t-il raté son plat ?,Oui,Non,Je ne sais pas
2,no,7,OR,short,L'arbitre que_le_joueur_avait_giflé pendant_le_match a_rendu son_sifflet,The referee who the player had slapped during the game has returned his whistle.,Le tournoi de football fut mouvementé:,L'arbitre a-t-il continué à arbitrer ?,Non,Oui,Je ne sais pas
2,no,8,IOR,short,L'artiste qu'avait_abandonné_le promoteur juste_avant_le_vernissage n'a_pas_pu exposer,The artist who the promoter let down right before the vernissage has not been able to exhibit. ,La galerie d'art a perdu beaucoup d'argent:,L'artiste a-t-il pu exposer ?,Non,Oui,Je ne sais pas
2,no,9,SR,short,L'étudiant qui_avait_interrogé_le_professeur pendant_le_cours a_reçu la_note_maximale,The student who had questioned the professor during the lesson has received the maximal grade.,L'université est un lieu d'échange:,L'étudiant a-t-il raté son examen ?,Non,Oui,Je ne sais pas
2,no,10,OR,short,Le_défenseur que_le_gardien_avait_félicité après_la_dernière_action a_été_nommé l'homme_du_match,The defender who the goalkeeper had congratulated after the last action has been named man of the match.,Manchester United finit sa saison en beauté:,Le gardien a-t-il été nommé l'homme du match ?,Non,Oui,Je ne sais pas
2,no,11,IOR,short,Le_prince qu'avait_rencontré_le_comte au_bal_de_la_Saint-Nicolas a_obtenu de_nouvelles_terres,The prince who the count had met at the Saint-Nicolas bal has obtained new lands.,Le roi devrait s'inquiéter pour son royaume:,Le comte a-t-il obtenu de nouvelles terres ?,Non,Oui,Je ne sais pas
2,no,12,SR,short,Le_réalisateur qui_avait_contacté_le_producteur au_sujet_de_son_dernier film a_terminé le_tournage_à_temps,The director who had contacted the producer about his last film has finished the shoot on time.,Rareté dans le monde du cinéma:,Le réalisateur a-t-il interrompu le tournage de son film ?,Non,Oui,Je ne sais pas
2,no,13,OR,long,Le_député que_le_président_de_la_République_française_avait_critiqué dans_une_interview est_passé à_la_télévision,The deputee who the president of the French Republic had criticised in an interview has appeared on TV.,La politique est un spectacle:,Le député est-il passé à la télévision ?,Oui,Non,Je ne sais pas
2,no,14,IOR,long,L'avocat qu'avait_appelé_le_juge_d'instruction_du_tribunal_judiciaire sur_son_portable n'est_pas_venu_au_procès,The lawyer who the investigating judge of the judicial court had called on his cell phone has not come to the trial.,Nouveaux déroulements dans l'affaire Dumont:,L'avocat a-t-il été appelé sur son portable ?,Oui,Non,Je ne sais pas
2,no,15,SR,long,Le_journaliste qui_avait_provoqué_le_ministre_des_Affaires_étrangères dans_une_émission_de_radio a_démissionné de_son_poste,The journalist who had provoked the minister of Foreign Affairs in a radio programme has resigned from his position.,Le journal régional perd un précieux collaborateur:,Le journaliste a-t-il donné sa démission ?,Oui,Non,Je ne sais pas
2,no,16,OR,long,Le_secrétaire que_le_président_du_conseil_d'administration_avait_choqué pendant_une_réunion a_mis_fin à_son_contrat,The secretary who the chairman of the board had shocked during a meeting has terminated his contract.,Il y a du changement dans l'entreprise:,Le secrétaire a-t-il été choqué ?,Oui,Non,Je ne sais pas
2,no,17,IOR,long,Le_salarié qu'avait_insulté_le_directeur_des_ressources_humaines dans_un_e-mail a_apaisé sa_colère,The (salaried) employee who the director of human resources had insulted in an e-mail has appeased his anger.,La situation s'est améliorée au bureau:,Le salarié a-t-il été insulté ?,Oui,Non,Je ne sais pas
2,no,18,SR,long,L'employé qui_avait_ruiné_le_directeur_de_la_multinationale en_révélant_certains_secrets a_dû vendre_sa_maison,The employee who had ruined the director of the multinational company by revealing some secrets has had to sell his house.,Découvrir la vérité peut être dangereux:,L'employé a-t-il révélé des secrets ?,Oui,Non,Je ne sais pas
2,no,19,OR,long,Le_musicien que_le_compositeur_de_musique_classique_avait_inspiré au_début_de_sa_carrière a_sorti un_nouvel_album,The musician who the classical composer had inspired at the beginning of his career has released a new album.,La Fête de la musique arrive à grands pas:,Le compositeur de musique classique a-t-il sorti un nouvel album ?,Non,Oui,Je ne sais pas
2,no,20,IOR,long,Le_banquier qu'avait_arnaqué_le_chef_des_services_financiers pendant_plusieurs_années a_été licencié,The banker who the chief financial officer had scammed for several years has been laid off.,De nouvelles révélations sont tombées à propos d'UBS:,Le banquier a-t-il démissionné ?,Non,Oui,Je ne sais pas
2,no,21,SR,long,L'entraîneur qui_avait_accusé_le_président_de_la_Fédération_française_de_rugby suite_à _une_défaite_a_changé de_club,The coach who had accused the president of the French Federation of Rugby following a defeat has changed clubs.,Le monde du ballon ovale est en mouvement:,L'entraîneur a-t-il  tenu le président de la Fédération française de rugby responsable de sa victoire ?,Non,Oui,Je ne sais pas
2,no,22,OR,long,Le_chanteur que_le_candidat_au_Concours_Eurovision_avait_remplacé au_dernier_moment a_perdu l'appui_de_ses_fans,The singer who the candidate to the Eurovision contest had replaced at the last minute has lost the support of his fans.,L'industrie du spectacle peut être cruelle:,Le candidat à l'Eurovision a-t-il été remplacé ?,Non,Oui,Je ne sais pas
2,no,23,IOR,long,Le_cycliste qu'avait_percuté_le_chauffeur_de_limousine au_milieu_du_carrefour a_succombé à_ses_blessures,The cyclist who the limousine driver had collided with in the middle of the crossroads has succumbed to his injuries. ,La route a fait une nouvelle victime:,Le chauffeur de limousine est-il décédé ?,Non,Oui,Je ne sais pas
2,no,24,SR,long,Le_chirurgien qui_avait_choisi_le_médecin_anesthésiste pour_une_opération_délicate a_sauvé la_vie_du_patient,The surgeon who had chosen the anaesthesiologist for a delicate operation has saved the patient's life.,L'hôpital regorge de personnel compétent:,L'opération a-t-elle causé la mort du patient ?,Non,Oui,Je ne sais pas
3,no,1,IOR,short,Le_baron qu'avait_détesté_le_roi dans_sa_jeunesse a_hérité d'un_château_en_Bourgogne,The baron who the king had hated in his youth has inherited a castle in Burgundy.,Il y a du nouveau à la cour:,Le baron possède-t-il un château en Bourgogne ? ,Oui,Non,Je ne sais pas
3,no,2,SR,short,L'épicier qui_avait_croisé_le maire au_marché est parti_en_retraite,The grocer who had run into the mayor at the market has retired.,Il y a du changement au village:,L'épicier a-t-il arrêté de travailler ?,Oui,Non,Je ne sais pas
3,no,3,OR,short,L'homme que_l'étranger_avait_accompagné jusqu'à_la_gare est_parti rapidement,The man who the foreigner had accompanied to the station has left quickly.,Il n'y a plus personne sur le quai:,L'étranger est-il allé jusqu'à la gare ?,Oui,Non,Je ne sais pas
3,no,4,IOR,short,Le chat qui_ avait_poursuivi_le_chien dans_toute_la_maison a_sali la_moquette,The cat who the dog had chased all over the house has soiled the carpet.,S'occuper d'animaux n'est pas de tout repos:,Le chat a-t-il sali la moquette ?,Oui,Non,Je ne sais pas
3,no,5,SR,short,Le_douanier qui_avait_soudoyé_l'officier à_plusieurs_reprises a_perdu son_procès,The custom officier who had bribed the officer on several occasions lost his case.,Victoire contre la corruption et la contrebande:,L'officier a-t-il été soudoyé ?,Oui,Non,Je ne sais pas
3,no,6,OR,short,Le_cuisinier que_le_chef_avait_défié devant_tout_le_personnel a_raté son_soufflé,The cook who the chef had challenged in front of all the staff messed up his soufflé.,L'ambiance est pesante au restaurant:,Le cuisinier a-t-il raté son plat ?,Oui,Non,Je ne sais pas
3,no,7,IOR,short,L'arbitre qu'avait_giflé_le_joueur pendant_le_match a_rendu son_sifflet,The referee who the player had slapped during the game has returned his whistle.,Le tournoi de football fut mouvementé:,L'arbitre a-t-il continué à arbitrer ?,Non,Oui,Je ne sais pas
3,no,8,SR,short,L'artiste qui_avait_abandonné_le promoteur juste_avant_le_vernissage n'a_pas_pu exposer,The artist who let down the promoter right before the vernissage has not been able to exhibit. ,La galerie d'art a perdu beaucoup d'argent:,L'artiste a-t-il pu exposer ?,Non,Oui,Je ne sais pas
3,no,9,OR,short,L'étudiant que_le professeur_avait_interrogé pendant_le_cours a_reçu la_note_maximale,The student who the professor had questioned during the lesson has received the maximal grade.,L'université est un lieu d'échange:,L'étudiant a-t-il raté son examen ?,Non,Oui,Je ne sais pas
3,no,10,IOR,short,Le_défenseur qu'avait_félicité_le_gardien après_la_dernière_action a_été_nommé l'homme_du_match,The defender who the goalkeeper had congratulated after the last action has been named man of the match.,Manchester United finit sa saison en beauté:,Le gardien a-t-il été nommé l'homme du match ?,Non,Oui,Je ne sais pas
3,no,11,SR,short,Le_prince qui_avait_rencontré_le_comte au_bal_de_la_Saint-Nicolas a_obtenu de_nouvelles_terres,The prince who had met the count at the Saint-Nicolas bal has obtained new lands.,Le roi devrait s'inquiéter pour son royaume:,Le comte a-t-il obtenu de nouvelles terres ?,Non,Oui,Je ne sais pas
3,no,12,OR,short,Le_réalisateur que_le_producteur_avait_contacté au_sujet_de_son_dernier film a_terminé le_tournage_à_temps,The director who the producer had contacted about his last film has finished the shoot on time.,Rareté dans le monde du cinéma:,Le réalisateur a-t-il interrompu le tournage de son film ?,Non,Oui,Je ne sais pas
3,no,13,IOR,long,Le_député qu'avait_critiqué_le_président_de_la_République_française dans_une_interview est_passé à_la_télévision,The deputee who the president of the French Republic had criticised in an interview has appeared on TV.,La politique est un spectacle:,Le député est-il passé à la télévision ?,Oui,Non,Je ne sais pas
3,no,14,SR,long,L'avocat qui_avait_appelé_le_juge_d'instruction_du_tribunal_judiciaire sur_son_portable n'est_pas_venu_au_procès,The lawyer who had called the investigating judge of the judicial court on his cell phone has not come to the trial.,Nouveaux déroulements dans l'affaire Dumont:,Le juge a-t-il été appelé sur son portable ?,Oui,Non,Je ne sais pas
3,no,15,OR,long,Le_journaliste que_le_ministre_des_Affaires_étrangères_avait_provoqué dans_une_émission_de_radio a_démissionné de_son_poste,The journalist who the minister of Foreign Affairs had provoked in a radio programme has resigned from his position.,Le journal régional perd un précieux collaborateur:,Le journaliste a-t-il donné sa démission ?,Oui,Non,Je ne sais pas
3,no,16,IOR,long,Le_secrétaire qu'avait_choqué_le_président_du_conseil_d'administration pendant_une_réunion a_mis_fin à_son_contrat,The secretary who the chairman of the board had shocked during a meeting has terminated his contract.,Il y a du changement dans l'entreprise:,Le secrétaire a-t-il été choqué ?,Oui,Non,Je ne sais pas
3,no,17,SR,long,Le_salarié qui_avait_insulté_le_directeur_des_ressources_humaines dans_un_e-mail a_apaisé sa_colère,The (salaried) employee who had insulted the director of human resources in an e-mail has appeased his anger.,La situation s'est améliorée au bureau:,Le DRH a-t-il été insulté ?,Oui,Non,Je ne sais pas
3,no,18,OR,long,L'employé que_le_directeur_de_la_multinationale_avait_ruiné en_révélant_certains_secrets a_dû vendre_sa_maison,The employee who the director of the multinational company had ruined by revealing some secrets has had to sell his house.,Découvrir la vérité peut être dangereux:,L'employé a-t-il été ruiné ?,Oui,Non,Je ne sais pas
3,no,19,IOR,long,Le_musicien qu'avait_inspiré_le_compositeur_de_musique_classique au_début_de_sa_carrière a_sorti un_nouvel_album,The musician who the classical composer had inspired at the beginning of his career has released a new album.,La Fête de la musique arrive à grands pas:,Le compositeur de musique classique a-t-il sorti un nouvel album ?,Non,Oui,Je ne sais pas
3,no,20,SR,long,Le_banquier qui_avait_arnaqué_le_chef_des_services_financiers pendant_plusieurs_années a_été licencié,The banker who had scammed the chief financial officer for several years has been laid off.,De nouvelles révélations sont tombées à propos d'UBS:,Le banquier a-t-il démissionné ?,Non,Oui,Je ne sais pas
3,no,21,OR,long,L'entraîneur que_le_président_de_la_Fédération_française_de_rugby_avait_accusé suite_à _une_défaite_a_changé de_club,The coach who the president of the French Federation of Rugby had accused following a defeat has changed clubs.,Le monde du ballon ovale est en mouvement:,L'entraîneur a-t-il  tenu le président de la Fédération française de rugby responsable de sa victoire ?,Non,Oui,Je ne sais pas
3,no,22,IOR,long,Le_chanteur qu'avait_remplacé_le_candidat_au_Concours_Eurovision au_dernier_moment a_perdu l'appui_de_ses_fans,The singer who the candidate to the Eurovision contest had replaced at the last minute has lost the support of his fans.,L'industrie du spectacle peut être cruelle:,Le candidat à l'Eurovision a-t-il été remplacé ?,Non,Oui,Je ne sais pas
3,no,23,SR,long,Le_cycliste qui_avait_percuté_le_chauffeur_de_limousine au_milieu_du_carrefour a_succombé à_ses_blessures,The cyclist who had collided with the limousine driver in the middle of the crossroads has succumbed to his injuries. ,La route a fait une nouvelle victime:,Le chauffeur de limousine est-il décédé ?,Non,Oui,Je ne sais pas
3,no,24,OR,long,Le_chirurgien que_le_médecin_anesthésiste_avait_choisi pour_une_opération_délicate a_sauvé la_vie_du_patient,The surgeon who the anaesthesiologist had chosen for a delicate operation has saved the patient's life.,L'hôpital regorge de personnel compétent:,L'opération a-t-elle causé la mort du patient ?,Non,Oui,Je ne sais pas
1,yes,1001,declarative,,Le_pasteur avait_encouragé_la_vieille_dame à_prier chaque_jour,The pastor had encouraged the old lady to pray every day.,Pas de répit pour les croyants:,,,,
1,yes,1002,declarative,,La_patronne_du_café avait_fait_sortir_tous_les_clients après_minuit,The owner.FEM of the café had let all the customers out after midnight.,Le couvre-feu était établi:,,,,
1,yes,1003,declarative,,Les_supporters avaient_crié_de_toutes_leurs_forces lors_du_match,The fans had shouted at the top of their voices during the match.,L'ambiance était à son comble:,,,,
1,yes,1004,declarative,,Les_contrôleurs avaient_verbalisé_les_passagers sortant_du_train,The ticket inspectors had issued tickets to passengers leaving the train.,Pas de chance pour ceux sans billet:,,,,
1,yes,1005,declarative,,L'écrivain avait_préfacé_de_nombreux_livres sur_l'histoire_de_France,The writer had given a preface to many books on French history.,Il était un expert dans son domaine:,,,,
1,yes,1006,declarative,,Le_vieil_homme avait_pêché_beaucoup_de_poisson ce_jour-là,The old man had caught a lot of fish that day.,Les conditions étaient idéales:,,,,
1,yes,1007,declarative,,L'actrice avait_acheté_un_cadeau_pour_son_fils dans_une_brocante,The actress had bought a gift for her son in a flea market.,Pas de goûts de luxe:,,,,
1,yes,1008,declarative,,Les_écoliers avaient_jeté_des_pierres contre_les_vitres_du_bâtiment,The schoolkids had thrown stones against the windows of the building.,La désobéissance était monnaie courante:,,,,
1,yes,1009,declarative,,La_présentatrice avait_interrompu_le_journaliste au_milieu_d'une_phrase,The presenter.FEM had interrupted the reporter in the middle of a sentence.,Un évènement de la plus haute importance avait été annoncé:,,,,
1,yes,1010,declarative,,Le_détective avait_suivi_le_couple_à_travers_la_ville toute_la_nuit,The detective had followed the couple through the city the whole night.,Le soleil se levait sur la ville:,,,,
1,yes,1011,declarative,,L'ouvrier avait_remercié_le_contremaître pour_ses_précieux_conseils,The worker had thanked the foreman for his valuable advice.,Le chantier était enfin terminé:,,,,
1,yes,1012,declarative,,La_serveuse avait_impressionné_les_clients par_son_professionnalisme,The waitress had impressed the customers with her professionalism.,Le café était plein ce jour-là:,,,,
1,yes,1013,right-branching RCs,,Le_docteur avait_soigné_la_patiente qui_était_tombée_malade la_veille_au_soir,The doctor had  cured the patient.FEM who had feel ill the night before.,Miracle à l'hôpital:,La patiente a-t-elle été soignée ?,Oui,Non,Je ne sais pas
1,yes,1014,right-branching RCs,,Le_voyageur avait_suivi_l'autochtone qui_connaissait_le_pays comme_sa_poche,The traveller had followed the local who knew the country like the back of his hand.,Il peut être dangereux de voyager seul:,L'autochtone avait-il guidé le voyageur ?,Oui,Non,Je ne sais pas
1,yes,1015,right-branching RCs,,La_conférencière avait_mentionné_les_philosophes qui_avaient_disserté sur_la_liberté_d'expression,The lecturer.FEM had mentioned the philosophers who had discussed freedom of expression.,Le séminaire avait été très intéressant:,La conférencière a-t-elle parlé de philosophes ?,Oui,Non,Je ne sais pas
1,yes,1016,right-branching RCs,,Le_chien avait_guetté_le_facteur qui_arrivait sur_son_vélo,The dog had looked out for the postman who was arriving on his bike.,On entendit des aboyements:,Le chien attendait-il le facteur ?,Oui,Non,Je ne sais pas
1,yes,1017,right-branching RCs,,Les_touristes avaient_attendu_le_guide qui_avait deux_heures_de_retard,The tourists had waited for the guide who was two hours late.,Tout le monde était fatigué:,Le guide avait-il fait patienter les touristes ?,Oui,Non,Je ne sais pas
1,yes,1018,right-branching RCs,,La_scientifique avait_observé_les_papillons qui_volaient dans_le_bosquet,The scientist.FEM had watched the butterflies that were flying in the grove.,Ce fut une promenade utile:,La scientifique s'était-elle intéressée aux papillons ?,Oui,Non,Je ne sais pas
1,yes,1019,right-branching RCs,,Les_policiers avaient_poursuivi_le_voleur qui_s'était_échappé par_la_fenêtre,The policemen had chased the thief who had escaped through the window.,L'appartement était sens dessus dessous:,Le voleur était-il toujours dans la maison ?,Non,Oui,Je ne sais pas
1,yes,1020,right-branching RCs,,Le_capitaine avait_réprimandé_les_marins qui_avaient_jeté_de_la_nourriture par_dessus-bord,The captain had reprimanded the sailors who had trown food overboard.,Les vivres commençaient à manquer:,Le capitaine avait-il jeté de la nourriture par-dessus-bord ?,Non,Oui,Je ne sais pas
1,yes,1021,right-branching RCs,,L'infirmière avait_soigné_les_personnes qui_étaient dans_un_état_critique,The nurse.FEM had treated the people who were in a critical condition.,L'explosion fit beaucoup de victimes:,L'infirmière avait-elle ignoré les personnes gravement blessées ?,Non,Oui,Je ne sais pas
1,yes,1022,right-branching RCs,,Le_boulanger avait_livré_les_clients qui_ne_pouvaient_pas sortir_de_chez_eux,The baker had delivered (bread) to the customers who could not get out of the house.,La pandémie fut l'occasion de faire de bonnes actions:,Le boulanger avait-il livré tous ses clients ?,Non,Oui,Je ne sais pas
1,yes,1023,right-branching RCs,,L'agent avait_espionné_l'homme qui_était_suspecté de_trafic_d'œuvres_d'art,The agent had spied on the man who was suspected of trafficking in works of art.,La mission était terminée:,L'agent était-il suspecté de trafic d'œuvres d'art ?,Non,Oui,Je ne sais pas
1,yes,1024,right-branching RCs,,La_factrice avait_salué_les_jeunes qui_s'étaient assis_sur_la_place_du_marché ce_matin-là,The postwoman had greeted the young people who had sat down on the maketplace that morning.,Tout était normal au village:,La factrice avait-elle ignoré les jeunes sur la palce du marché ?,Non,Oui,Je ne sais pas
1,yes,1025,center-embedded RCs,,Le_mécanicien qui_avait_réparé_le_moteur_de_la_voiture il_y_a_une_semaine a_envoyé_la_facture ce_matin,The mechanic who had repaired the car's engine a week ago has sent the invoice this morning. ,Mauvaise nouvelle pour le porte-monnaie:,,,,
1,yes,1026,center-embedded RCs,,Le_maçon qui_avait_construit_le_mur_du_jardin très_rapidement a_été_engagé pour_un_nouveau_projet,The mason who had build the garden's wall very quickly has been hired for a new project.,Le talent est parfois récompensé:,,,,
1,yes,1027,center-embedded RCs,,Le_juge qui_avait_condamné_le_criminel à_vingt_ans_de_prison est_revenu sur_sa_décision,The judge who had sentences the criminal to twenty years in prison went back on his decision.,Personne n'est infaillible:,Le juge avait-il condamné le criminel avant de changer d'avis ?,Oui,Non,Je ne sais pas
1,yes,1028,center-embedded RCs,,Le_patron qui_avait_engagé_le_stagiaire à_la_fin_de_son_stage a_dû_licencier_un_employé,The employer who had hired the intern at the end of his internship has had to fire an employee.,Le monde du travail est parfois cruel:,Le patron a-t-il viré le stagiaire ?,Non,Oui,Je ne sais pas
1,yes,1029,center-embedded RCs,,Le_prix que_l'agriculteur_avait_payé pour_les_engrais_biologiques_l'année_dernière a_augmenté depuis,The price that the farmer had paid for organic fertilisers last year has augmented since.,Les temps sont durs pour les cultivateurs:,,,,
1,yes,1030,center-embedded RCs,,Le_contrat que_l'entrepreneur_avait_signé à_la_fin_de_la_négotiatoin s'est_avéré frauduleux,The contract that the entrepreneur had signed at the end of the negociation proved to be fraudulent.,Personne n'est à l'abri d'une arnaque:,,,,
